"Ne"	"alpha"	"l"	"gamma_2"	"v"	"P_1"	"P_2"	"frac"
"270"	1000	4	40	100	0.914736741103995	49.9429338316253	0.0465521620151892	0.000931239061372054
"271"	1000	4	50	20	0.920895585416857	50.2791953374497	0.215947734784725	0.00427660407805573
"272"	1000	4	50	40	0.916379220995098	50.0326101951462	0.114138495949951	0.00227608965544394
"273"	1000	4	50	60	0.914839520909094	49.9485454188445	0.0774934102383284	0.00154906148981912
"274"	1000	4	50	80	0.91406330071243	49.9061652320883	0.0586498100131992	0.00117382221797038
"275"	1000	4	50	100	0.913595534260601	49.8806260491709	0.0471752398397338	0.000944869163507855
"276"	1000	5	10	20	0.988620589510359	146.724304843084	0.0844427129746316	0.000575188565942825
"277"	1000	5	10	40	0.968116696406407	143.681257293625	0.118297545223792	0.000822655851447968
"278"	1000	5	10	60	0.956938567003	142.022275796008	0.106514721776145	0.000749423965321209
"279"	1000	5	10	80	0.950403794151647	141.052429513121	0.0920091198681978	0.000651879172564812
"280"	1000	5	10	100	0.946174857266201	140.424799630306	0.0798835947227026	0.000568547559334822
"281"	1000	5	20	20	0.96354499681392	143.002756914636	0.270520109397032	0.00188814072670128
"282"	1000	5	20	40	0.943324712017792	140.001800570089	0.210283963312194	0.001499756344198
"283"	1000	5	20	60	0.935116554657874	138.783602005892	0.160492618278072	0.00115508772583814
"284"	1000	5	20	80	0.930734425307268	138.133236345373	0.128499034465049	0.000929389712287579
"285"	1000	5	20	100	0.928016899842896	137.729919806264	0.10683239296313	0.000775064641748932
"286"	1000	5	30	20	0.949279268525663	140.885535112477	0.376381199504994	0.0026644208809524
"287"	1000	5	30	40	0.933024697869317	138.473142931512	0.248500404276603	0.00179136000915938
"288"	1000	5	30	60	0.926912534200594	137.566017412485	0.180785694834855	0.0013124492965111
"289"	1000	5	30	80	0.923727393114847	137.093300561762	0.141498231760182	0.00103106670468526
"290"	1000	5	30	100	0.921775374986131	136.803595384654	0.116095637179228	0.00084791045256387
"291"	1000	5	40	20	0.940781625577218	139.624373077572	0.439439301250218	0.00313742210630175
"292"	1000	5	40	40	0.927488160741033	137.651447965815	0.26904277841904	0.00195070925985875
"293"	1000	5	40	60	0.922657404203489	136.934500127223	0.191310982922566	0.001395149325818
"294"	1000	5	40	80	0.920167981869999	136.565037094369	0.148101525102595	0.00108330133151885
"295"	1000	5	40	100	0.918650826001636	136.339871199094	0.120732879034824	0.000884745306899707
"296"	1000	5	50	20	0.935220810312804	138.799074916995	0.480704209279093	0.00345135677479268
"297"	1000	5	50	40	0.924043631105653	137.140234441006	0.281823116539268	0.00205078516177256
"298"	1000	5	50	60	0.920059177032433	136.5488890247	0.197737834631274	0.00144601617731078
"299"	1000	5	50	80	0.91801902814005	136.246104082542	0.152088187750432	0.0011150308168971
